Year,maxT much above normal,maxT much below normal,minT much above normal,minT much below normal,precip much above normal,precip much below normal,Season,Region
1959,0.0,1.5,0.0,0.1,0.0,5.7,Summer,Southeast
1960,0.6,0.4,0.0,0.8,5.4,2.5,Summer,Southeast
1961,0.0,32.1,0.0,53.7,19.0,8.7,Summer,Southeast
1962,0.8,10.5,0.0,11.6,11.8,0.0,Summer,Southeast
1963,0.6,2.2,0.0,37.8,0.0,13.5,Summer,Southeast
1964,0.0,14.8,0.0,1.1,5.7,2.7,Summer,Southeast
1965,0.0,42.7,0.0,21.5,11.5,0.0,Summer,Southeast
1966,1.2,25.2,0.0,68.0,2.9,10.5,Summer,Southeast
1967,0.0,81.7,0.0,84.5,19.1,2.6,Summer,Southeast
1968,0.0,6.3,0.0,7.8,2.9,5.3,Summer,Southeast
1969,0.0,0.1,0.1,2.0,5.2,0.0,Summer,Southeast
1970,0.0,0.1,0.0,3.1,2.6,8.5,Summer,Southeast
1971,0.0,2.5,0.0,4.5,16.2,0.0,Summer,Southeast
1972,0.0,30.4,0.0,81.4,0.0,17.1,Summer,Southeast
1973,0.0,0.8,0.2,0.2,11.6,8.7,Summer,Southeast
1974,0.0,62.8,0.0,62.8,5.8,5.5,Summer,Southeast
1975,0.0,18.4,0.0,2.3,5.8,0.0,Summer,Southeast
1976,0.0,29.6,0.0,78.3,0.0,8.3,Summer,Southeast
1977,15.4,0.0,0.1,0.6,2.9,13.5,Summer,Southeast
1978,0.0,0.0,0.0,0.1,3.2,5.9,Summer,Southeast
1979,1.7,31.9,0.0,35.2,2.7,8.7,Summer,Southeast
1980,39.9,0.0,0.5,0.1,0.0,61.4,Summer,Southeast
1981,13.3,0.0,7.5,0.0,2.7,5.4,Summer,Southeast
1982,0.0,14.7,0.7,0.8,14.0,0.0,Summer,Southeast
1983,8.0,0.0,0.1,1.9,2.9,46.3,Summer,Southeast
1984,0.0,2.5,0.0,24.6,2.7,13.9,Summer,Southeast
1985,0.1,7.2,0.0,1.8,13.7,2.8,Summer,Southeast
1986,24.5,0.0,10.5,0.0,11.2,10.6,Summer,Southeast
1987,27.9,0.0,15.3,0.0,0.0,19.5,Summer,Southeast
1988,7.7,0.0,0.0,7.8,0.0,21.2,Summer,Southeast
1989,3.3,20.5,5.1,0.0,43.6,2.7,Summer,Southeast
1990,17.4,0.0,0.0,0.2,2.9,21.9,Summer,Southeast
1991,0.8,5.3,11.5,0.0,11.4,0.0,Summer,Southeast
1992,0.0,62.4,0.0,7.2,14.0,2.8,Summer,Southeast
1993,53.0,0.0,4.4,0.0,0.0,29.6,Summer,Southeast
1994,0.0,41.1,1.3,0.0,49.9,0.0,Summer,Southeast
1995,0.3,0.0,10.9,0.0,0.0,5.7,Summer,Southeast
1996,0.0,1.9,0.0,0.0,5.2,8.4,Summer,Southeast
1997,0.8,43.3,0.0,20.3,5.3,10.5,Summer,Southeast
1998,49.9,0.0,51.5,0.0,0.0,31.2,Summer,Southeast
1999,3.7,0.0,8.5,0.0,2.9,18.3,Summer,Southeast
2000,18.9,2.7,0.0,0.0,2.7,14.7,Summer,Southeast
2001,0.5,6.1,0.0,0.0,8.0,0.0,Summer,Southeast
2002,20.5,0.8,1.5,0.0,2.8,5.3,Summer,Southeast
2003,0.0,42.9,7.7,0.0,48.1,0.0,Summer,Southeast
2004,3.3,24.1,1.6,0.0,22.1,0.0,Summer,Southeast
2005,0.1,3.9,93.1,0.0,24.9,0.0,Summer,Southeast
2006,22.9,0.0,2.7,0.0,2.7,14.6,Summer,Southeast
2007,29.9,0.0,5.5,0.0,0.0,9.1,Summer,Southeast
2008,6.2,0.0,0.4,1.3,2.9,8.3,Summer,Southeast
2009,3.4,0.2,8.9,0.0,5.3,2.8,Summer,Southeast
2010,77.1,0.0,100.0,0.0,2.6,2.6,Summer,Southeast
2011,87.5,0.0,79.6,0.0,0.0,11.7,Summer,Southeast
2012,0.6,1.7,1.7,0.0,6.0,0.0,Summer,Southeast
2013,0.1,60.9,33.2,0.0,58.2,3.1,Summer,Southeast
2014,1.5,3.5,0.8,0.0,11.4,11.3,Summer,Southeast
2015,15.2,0.0,64.1,0.0,16.1,0.0,Summer,Southeast
2016,56.2,0.0,95.4,0.0,5.8,0.0,Summer,Southeast
2017,0.4,13.4,42.8,0.1,27.1,3.0,Summer,Southeast
2018,3.3,0.1,80.0,0.0,16.2,0.0,Summer,Southeast
2019,9.3,0.0,50.1,0.0,13.0,6.4,Summer,Southeast
2020,8.1,0.1,78.5,0.0,15.3,0.0,Summer,Southeast
2021,2.1,13.4,50.7,0.0,36.2,0.0,Summer,Southeast
2022,9.5,0.0,77.1,0.0,14.6,0.0,Summer,Southeast
1910,0.6,11.7,0.0,10.2,0.0,14.7,Fall,Southeast
1911,5.5,2.7,26.4,0.0,11.9,5.8,Fall,Southeast
1912,0.2,3.0,0.0,0.0,14.4,13.8,Fall,Southeast
1913,0.0,8.7,0.0,41.9,0.0,14.3,Fall,Southeast
1914,0.0,33.4,0.0,4.7,11.8,2.7,Fall,Southeast
1915,16.6,0.0,13.6,0.0,5.6,0.0,Fall,Southeast
1916,0.6,7.0,0.0,13.7,8.2,22.7,Fall,Southeast
1917,0.0,86.4,0.0,100.0,0.0,16.2,Fall,Southeast
1918,0.0,5.0,0.0,3.0,22.1,10.4,Fall,Southeast
1919,87.1,0.0,76.6,0.0,0.0,15.1,Fall,Southeast
1920,0.2,5.9,0.0,4.9,0.0,13.4,Fall,Southeast
1921,71.6,0.0,13.8,0.0,0.0,5.2,Fall,Southeast
1922,8.7,0.0,1.6,0.0,5.9,27.0,Fall,Southeast
1923,0.0,22.1,0.0,13.5,0.0,5.2,Fall,Southeast
1924,0.2,30.4,0.0,20.1,6.4,12.1,Fall,Southeast
1925,12.7,1.5,11.9,0.0,8.5,5.6,Fall,Southeast
1926,0.0,2.7,0.2,0.2,5.3,2.9,Fall,Southeast
1927,64.2,0.0,5.8,0.7,0.0,26.9,Fall,Southeast
1928,0.0,9.1,0.0,0.0,3.1,0.0,Fall,Southeast
1929,0.0,44.7,0.5,0.0,41.0,0.0,Fall,Southeast
1930,0.1,37.9,0.0,1.0,23.0,2.4,Fall,Southeast
1931,88.5,0.0,32.3,0.0,2.7,61.9,Fall,Southeast
1932,0.0,46.7,0.0,2.6,5.1,0.0,Fall,Southeast
1933,20.5,0.3,0.0,0.0,0.0,23.0,Fall,Southeast
1934,5.6,0.0,0.0,0.2,0.0,7.7,Fall,Southeast
1935,0.6,0.4,0.0,0.0,5.3,10.1,Fall,Southeast
1936,0.2,0.0,1.0,0.0,5.8,5.5,Fall,Southeast
1937,0.0,99.4,0.0,51.7,16.6,0.0,Fall,Southeast
1938,11.8,0.6,0.0,0.5,0.0,17.6,Fall,Southeast
1939,3.5,0.0,0.0,0.0,0.0,34.7,Fall,Southeast
1940,0.0,7.0,0.0,54.6,0.0,32.7,Fall,Southeast
1941,70.9,0.0,22.7,0.0,0.0,37.4,Fall,Southeast
1942,11.6,0.0,0.1,0.8,2.5,2.7,Fall,Southeast
1943,0.0,3.7,0.0,99.4,0.0,52.1,Fall,Southeast
1944,0.0,0.6,0.0,8.8,0.0,14.6,Fall,Southeast
1945,1.3,0.1,0.4,0.0,2.7,2.8,Fall,Southeast
1946,9.9,0.0,8.9,0.0,0.0,2.5,Fall,Southeast
1947,0.0,6.2,20.9,0.0,39.7,0.0,Fall,Southeast
1948,0.4,0.5,2.8,0.2,22.6,2.7,Fall,Southeast
1949,0.0,0.0,0.0,0.0,0.0,2.6,Fall,Southeast
1950,0.0,8.5,0.0,10.6,0.0,2.7,Fall,Southeast
1951,0.0,0.2,0.0,0.8,2.6,7.8,Fall,Southeast
1952,0.0,18.1,0.0,73.6,0.0,7.3,Fall,Southeast
